"","TRKG_NO","MMSI_CD","VSL_NM","AIS_DATETIME","LAT","LON","SPD"
"1","VTR2014041610008","209752000_4","NOBLE REGOR","20140428132100","31.1663","122.1978","63.000"
"2","VTR2014041610008","209752000_4","NOBLE REGOR","20140428133154","31.1811","122.1737","82.000"
"3","VTR2014041610008","209752000_4","NOBLE REGOR","20140428134204","31.1953","122.1506","81.000"
"4","VTR2014041610008","209752000_4","NOBLE REGOR","20140428135115","31.2116","122.1250","99.000"
"5","VTR2014041610008","209752000_4","NOBLE REGOR","20140428140124","31.2301","122.0927","102.000"
"6","VTR2014041610008","209752000_4","NOBLE REGOR","20140428141028","31.2378","122.0605","104.000"
"7","VTR2014041610008","209752000_4","NOBLE REGOR","20140428142100","31.2427","122.0191","94.000"
"8","VTR2014041610008","209752000_4","NOBLE REGOR","20140428143159","31.2487","121.9844","93.000"
"9","VTR2014041610008","209752000_4","NOBLE REGOR","20140428144155","31.2552","121.9477","100.000"
"10","VTR2014041610008","209752000_4","NOBLE REGOR","20140428145103","31.2610","121.9138","100.000"
"11","VTR2014041610008","209752000_4","NOBLE REGOR","20140428150135","31.2674","121.8765","84.000"
"12","VTR2014041610008","209752000_4","NOBLE REGOR","20140428151154","31.2756","121.8445","96.000"
"13","VTR2014041610008","209752000_4","NOBLE REGOR","20140428152133","31.2879","121.8115","100.000"
"14","VTR2014041610008","209752000_4","NOBLE REGOR","20140428153134","31.3014","121.7751","107.000"
"15","VTR2014041610008","209752000_4","NOBLE REGOR","20140428154144","31.3147","121.7393","89.000"
"16","VTR2014041610008","209752000_4","NOBLE REGOR","20140428155054","31.3254","121.7153","75.000"
"17","VTR2014041610008","209752000_4","NOBLE REGOR","20140428160154","31.3379","121.6889","87.000"
"18","VTR2014041610008","209752000_4","NOBLE REGOR","20140428161203","31.3528","121.6565","98.000"
"19","VTR2014041610008","209752000_4","NOBLE REGOR","20140428162053","31.3661","121.6285","87.000"
"20","VTR2014041610008","209752000_4","NOBLE REGOR","20140428163117","31.3788","121.6007","66.000"
"21","VTR2014041610008","209752000_4","NOBLE REGOR","20140428164214","31.3730","121.5919","13.000"
"22","VTR2014041610008","209752000_4","NOBLE REGOR","20140428165135","31.3719","121.5906","14.000"
"23","VTR2014041610008","209752000_4","NOBLE REGOR","20140428165953","31.3717","121.5882","3.000"
"24","VTR2014041610008","209752000_4","NOBLE REGOR","20140428172145","31.3716","121.5881","0.000"
"25","VTR2014041610008","209752000_4","NOBLE REGOR","20140428174001","29.9442","121.8406","1.000"
"26","VTR2014041610008","209752000_4","NOBLE REGOR","20140428174545","31.3716","121.5882","0.000"
"27","VTR2014041610008","209752000_4","NOBLE REGOR","20140428180945","31.3716","121.5881","0.000"
"28","VTR2014041610008","209752000_4","NOBLE REGOR","20140428182745","31.3716","121.5882","0.000"
"29","VTR2014041610008","209752000_4","NOBLE REGOR","20140428184545","31.3715","121.5882","0.000"
"30","VTR2014041610008","209752000_4","NOBLE REGOR","20140428190346","31.3715","121.5882","0.000"
"31","VTR2014041610008","209752000_4","NOBLE REGOR","20140428192818","31.3715","121.5882","0.000"
"32","VTR2014041610008","209752000_4","NOBLE REGOR","20140428195146","31.3715","121.5881","0.000"
"33","VTR2014041610008","209752000_4","NOBLE REGOR","20140428200419","31.3716","121.5881","0.000"
"34","VTR2014041610008","209752000_4","NOBLE REGOR","20140428204544","31.3715","121.5881","0.000"
"35","VTR2014041610008","209752000_4","NOBLE REGOR","20140428210344","31.3715","121.5881","0.000"
"36","VTR2014041610008","209752000_4","NOBLE REGOR","20140428212743","31.3715","121.5881","0.000"
"37","VTR2014041610008","209752000_4","NOBLE REGOR","20140428213944","31.3715","121.5881","0.000"
"38","VTR2014041610008","209752000_4","NOBLE REGOR","20140428220946","31.3716","121.5881","0.000"
"39","VTR2014041610008","209752000_4","NOBLE REGOR","20140428222212","31.3716","121.5881","0.000"
"40","VTR2014041610008","209752000_4","NOBLE REGOR","20140428231012","31.3715","121.5882","0.000"
"41","VTR2014041610008","209752000_4","NOBLE REGOR","20140428232744","31.3716","121.5881","0.000"
"42","VTR2014041610008","209752000_4","NOBLE REGOR","20140428233944","31.3715","121.5881","0.000"
"43","VTR2014041610008","209752000_4","NOBLE REGOR","20140429000346","31.3715","121.5882","0.000"
"44","VTR2014041610008","209752000_4","NOBLE REGOR","20140429002145","31.3715","121.5882","0.000"
"45","VTR2014041610008","209752000_4","NOBLE REGOR","20140429003943","31.3715","121.5882","0.000"
"46","VTR2014041610008","209752000_4","NOBLE REGOR","20140429012141","22.3393","114.1150","0.000"
"47","VTR2014041610008","209752000_4","NOBLE REGOR","20140429013344","31.3715","121.5882","0.000"
"48","VTR2014041610008","209752000_4","NOBLE REGOR","20140429015743","31.3715","121.5882","0.000"
"49","VTR2014041610008","209752000_4","NOBLE REGOR","20140429021020","31.3715","121.5882","0.000"
"50","VTR2014041610008","209752000_4","NOBLE REGOR","20140429023944","31.3716","121.5882","0.000"
"51","VTR2014041610008","209752000_4","NOBLE REGOR","20140429030504","31.3716","121.5882","0.000"
"52","VTR2014041610008","209752000_4","NOBLE REGOR","20140429031734","31.3715","121.5882","0.000"
"53","VTR2014041610008","209752000_4","NOBLE REGOR","20140429034136","31.3716","121.5881","0.000"
"54","VTR2014041610008","209752000_4","NOBLE REGOR","20140429041253","31.3613","121.6315","97.000"
"55","VTR2014041610008","209752000_4","NOBLE REGOR","20140429042144","31.3478","121.6597","96.000"
"56","VTR2014041610008","209752000_4","NOBLE REGOR","20140429043134","31.3323","121.6907","97.000"
"57","VTR2014041610008","209752000_4","NOBLE REGOR","20140429044243","31.3180","121.7255","96.000"
"58","VTR2014041610008","209752000_4","NOBLE REGOR","20140429045153","31.3061","121.7603","104.000"
"59","VTR2014041610008","209752000_4","NOBLE REGOR","20140429050154","31.2926","121.7958","102.000"
"60","VTR2014041610008","209752000_4","NOBLE REGOR","20140429051244","31.2785","121.8332","99.000"
"61","VTR2014041610008","209752000_4","NOBLE REGOR","20140429052204","31.2675","121.8659","100.000"
"62","VTR2014041610008","209752000_4","NOBLE REGOR","20140429053153","31.2617","121.9018","105.000"
"63","VTR2014041610008","209752000_4","NOBLE REGOR","20140429054233","31.2543","121.9454","107.000"
"64","VTR2014041610008","209752000_4","NOBLE REGOR","20140429055154","31.2481","121.9832","110.000"
"65","VTR2014041610008","209752000_4","NOBLE REGOR","20140429060253","31.2409","122.0290","117.000"
"66","VTR2014041610008","209752000_4","NOBLE REGOR","20140429061227","31.2341","122.0720","122.000"
"67","VTR2014041610008","209752000_4","NOBLE REGOR","20140429062145","31.2189","122.1124","131.000"
"68","VTR2014041610008","209752000_4","NOBLE REGOR","20140429063133","31.1947","122.1516","126.000"
"69","VTR2014041610008","209752000_4","NOBLE REGOR","20140429064220","31.1688","122.1934","129.000"
"70","VTR2014041610008","209752000_4","NOBLE REGOR","20140430102116","35.0479","128.7842","82.000"
"71","VTR2014041610008","209752000_4","NOBLE REGOR","20140430103156","35.0672","128.7934","51.000"
"72","VTR2014041610008","209752000_4","NOBLE REGOR","20140430104127","35.0706","128.8069","33.000"
"73","VTR2014041610008","209752000_4","NOBLE REGOR","20140430105026","35.0700","128.8142","13.000"
"74","VTR2014041610008","209752000_4","NOBLE REGOR","20140430110027","35.0687","128.8152","3.000"
"75","VTR2014041610008","209752000_4","NOBLE REGOR","20140430114406","35.0686","128.8152","0.000"
"76","VTR2014041610008","209752000_4","NOBLE REGOR","20140430120205","35.0686","128.8152","0.000"
"77","VTR2014041610008","209752000_4","NOBLE REGOR","20140430130805","35.0686","128.8152","0.000"
"78","VTR2014041610008","209752000_4","NOBLE REGOR","20140430222128","35.0713","128.8128","16.000"
"79","VTR2014041610008","209752000_4","NOBLE REGOR","20140430222625","35.0718","128.8134","13.000"
"80","VTR2014041610008","209752000_4","NOBLE REGOR","20140430224053","35.0621","128.7865","73.000"
"81","VTR2014041610008","209752000_4","NOBLE REGOR","20140501235036","29.7531","131.3659","111.000"
"82","VTR2014041610008","209752000_4","NOBLE REGOR","20140502000128","29.7247","131.3969","111.000"
"83","VTR2014041610008","209752000_4","NOBLE REGOR","20140502001146","29.6966","131.4276","123.000"
"84","VTR2014041610008","209752000_4","NOBLE REGOR","20140502002103","29.6690","131.4579","132.000"
"85","VTR2014041610008","209752000_4","NOBLE REGOR","20140502003038","29.6376","131.4924","143.000"
"86","VTR2014041610008","209752000_4","NOBLE REGOR","20140502004151","29.5999","131.5335","142.000"
"87","VTR2014041610008","209752000_4","NOBLE REGOR","20140502004845","29.5769","131.5587","141.000"
"88","VTR2014041610008","209752000_4","NOBLE REGOR","20140502135312","27.1349","134.1988","130.000"
"89","VTR2014041610008","209752000_4","NOBLE REGOR","20140502153624","26.8154","134.5399","135.000"
"90","VTR2014041610008","209752000_4","NOBLE REGOR","20140502172120","26.4667","134.8488","130.000"
"91","VTR2014041610008","209752000_4","NOBLE REGOR","20140502172645","26.4521","134.8687","131.000"
"92","VTR2014041610008","209752000_4","NOBLE REGOR","20140502191445","26.1515","135.2456","129.000"
